val_loss,epoch,step,train_loss,test_loss
0.27685877680778503,0,781,,
,0,781,0.4486761689186096,
0.20448391139507294,1,1563,,
,1,1563,0.2310275435447693,
0.16649137437343597,2,2345,,
,2,2345,0.17856170237064362,
0.14634861052036285,3,3127,,
,3,3127,0.1436372548341751,
0.1251431256532669,4,3909,,
,4,3909,0.120186448097229,
0.11954329907894135,5,4691,,
,5,4691,0.10309579968452454,
0.11540009826421738,6,5473,,
,6,5473,0.08920804411172867,
0.10576429218053818,7,6255,,
,7,6255,0.07845213264226913,
0.10164298862218857,8,7037,,
,8,7037,0.0699525699019432,
0.10031402856111526,9,7819,,
,9,7819,0.06176477670669556,
0.10031402856111526,9,7820,,
,9,7820,,0.0980069637298584
